source_tweet,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54
  sydney airspace close sydney opera house evacuate hostage drama unfold isis style flag see http t co op nfi f,  cbcalert meika mashack sydney opera house evacuate hostage drama unfold isis style flag see http t co lkwa exl,  cbcalert need mention isis not deserve medium attention encourage,  cbcalert shit hope fatality hostage taker,  hotdogluver cbcalert couple shrink good talk will cure,  cbcalert trudoh parka,  cbcalert sydney airspace close incorrect report,  cbcalert use word incident instead drama innocent life stake drama killer seek mattgallowaycbc,  cbcalert vishhh,  cbcalert sydney airspace close sydney opera house evacuate hostage drama unfold isis style flag see http t co ism b dxr,  cbcalert claim isis style flag islamist mean propagate unsubstantiated claim,  dognose cbcalert help religion cause shit,  cbcalert pray situation,rt cbcalert sydney airspace close sydney opera house evacuate hostage drama unfold isis style flag see http t co iyfoawrezm,  cbcalert check source report airspace close possibly tfr cbd,  cbcalert sydney airspace close sydney opera house evacuate hostage drama unfold isis style flag see http t co qknyjejbsr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
know far sydneysiege dozen hostage hold http t co yqndzryjqq http t co rqjcibxqsm,  joshsawyer skynew heart go family lose love one tragedy change y happen http t co fypx lgw,  dark d joshsawyer grow amp read book,  bodhissattva joshsawyer ukraine look http t co ytuutpbysg,  dark d joshsawyer west fault ok attack,  bodhissattva joshsawyer agree medium doubt twist actually,  bodhissattva joshsawyer think peace initiative weapon shipment start kerry finally meet lavarov,  bodhissattva joshsawyer http t co ujh wv,  bodhissattva joshsawyer sage advice young need direction await wisdom,  dark d joshsawyer ukranian want eu russia right ok russia kill west fault,  dark d joshsawyer old,  bodhissattva joshsawyer http t co mjwxibavfp,  bodhissattva joshsawyer think eye nation kick sand long term productive,  daretoreadit piece make sense,  bodhissattva joshsawyer apperently kill torture mad know http t co g iv og,  bodhissattva joshsawyer http t co b oavi wb,  dark d joshsawyer great call politic grow up,  bodhissattva joshsawyer different opinion offer laugh reaction,  bodhissattva joshsawyer government burn books http t co xoecsmdpro,  dark d joshsawyer religion want destroy fight mistake conspiracy,  dark d joshsawyer maybe nice guess reason kill right agree kill,  bodhissattva joshsawyer sir point way carry surprise guy gun international headline,  dark d joshsawyer nation want thing want life conspiracy,  bodhissattva joshsawyer way eye carry shock tool cave http t co otdyqj vj,  joshsawyer skynew hurt,  darks d bodhissattva fuck,  dark d skynew innocent people hold gunpoint potentially disastrous,  joshsawyer skynews crazy saudi gun international terra alert need law spy citizen glorife bank robbery,  dark d skynew fucking empathy disgrace,  dark d joshsawyer work big boy earn money,  bodhissattva joshsawyer time spend research astonishing,  dark d joshsawyer point govt conspiracy horrible ok shitty horrible thing,  dark d joshsawyer fuck eye nation moronic conspiracy theory watch alex jones,  bodhissattva joshsawyer ff http t co n vjteu,  bodhissattva joshsawyer agree openly available info conspiracy politic,  skynew potentially bomb sydneycafe,  joshsawyer skynews maybe easy emo knee jerk reaction,  skynew strong hint event nwo stage false flag stunt http t co vqasotuotc,  bodhissattva joshsawyer lol safe,  dark d joshsawyer islamic state right attack kurd stop,  bodhissattva joshsawyer internet show funny book figure http t co hwtq qbdww,  dark d skynew feel innocent life go,  bodhissattva joshsawyer book http t co etd ymmaw,  bodhissattva joshsawyer granddad,  dark d joshsawyer tweet guess yr look old photo,  skynews guy gun city shut yawn,  dark d joshsawyer scumbag,  dark d joshsawyer nope frost advert fucktard juvenile photo middle finger,  bodhissattva joshsawyer http t co okpsalb ha,,,,,,
gunman headband read soldier o muhammad martinplace sydneysiege http t co ggugp kv c,  ninamaechik princekhattab politicovoice d let cry blame religion use brain,  princekhattab politicovoice bs muslim r kill muslim country,  violetmamba princekhattab red herring,  fredwillie majanahi princekhattab problem billion muslim silent abt act,religion peace write jesus bomb princekhattab laurawalkerkc,  ninamaechik princekhattab politicovoice decide attack muslims iraq afghanistan qui s le vent r colte la temp te,  majanahi princekhattab people tiny minority sadly contaminate world opinion,  princekhattab redsteeze politibunny,  princekhattab gunman headband read soldier o muhammad sydneysiege http t co cfanbh k c pc toddschnitt,  fredwillie majanahi princekhattab agenda certainly pro israel lol,  ninamaechik majanahi princekhattab element press want report big picture agenda,  princekhattab phillipsmyth ok clearly read wrong,  princekhattab haralddoornbo muhammad want hurt innocent people man soldier devil muhammad,  princekhattab redsteeze jfkerry d appear tv explain gunman islamic relieve,nutbag allow threaten kill muslim brown people martinplace sydneysiege http t co lc rzubv c,  princekhattab fredwillie mohame approve action action kill iislam,  princekhattab thearmoredpig think head band read u read range rifle,  ninamaechik princekhattab politicovoice logic attack muslims want drone kill htem torture,  iabu huraira princekhattab politicovoice kill allah use human shield tolerance radical islam,  princekhattab robpulsenew see,  princekhattab politicovoice west need wake radical islam quit picking israel build house,  samharrisorg princekhattab gunman headband read soldier o muhammad martinplace sydneysiege http t co ktz cgjz y,  princekhattab blazingcatfur want read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  break australian police respond ' incident ' sydney opera house,  afp tiredoflaundry lindt go end surprised target protester easy target,  afp opera house incident report correct,  afp nickdepetrillo uh oh,  afp break australian police respond ' incident ' sydney opera house incident isis flag wave ppl hostage ppl,  afp tom allard location wrong detail wrong,  afp stacyherbert,  sydneysiege afp break australia police respond ' incident ' sydney operahouse,  afp think happen,  break australian police respond ' incident ' sydney opera house afp,  afp fgunay nog meer ontwikkelingen nu bij het opera house,  myerssuzan afp fear w protester think pd presence force protection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break hostage flee sydney cafe loud bang hear,blessing amp greeting ap check late radio anytime http t co pd sedemc http t co wx uzojvx rt ty disclosure nesara,,  ap new sound explosion possible gunfire cafe,  ap bang sniper rifle,hectic ap break hostage flee sydney cafe loud bang hear,  ap break hostage flee sydney cafe loud bang hear,  ap break hostage flee sydney cafe loud bang hear pray stay safe,wow rt ap break hostage flee sydney cafe loud bang hear,hostage flee sydney cafe loud bang hear ap,rt ap break hostage flee sydney cafe loud bang hear,  ap cnn cut commercial news report,bueh ap break hostage flee sydney cafe loud bang hear,  ap innocent catch gun free zone run imperil straight near good guy gun http t co ftlspapqgo,break hostage flee sydney cafe loud bang hear sydneyseige ap,rt ap break hostage flee sydney cafe loud bang hear,  ap break hostage flee sydney cafe loud bang hear,  ap bang gun shoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney opera house evacuate siege continue local medium report hostage http t co clbdtgby r http t co eoqk kfewt,  ajenew notice return veteran middle east war berserk trend report lately watch prevalent,  ajenews swat team look sci fi lol,  ajenew definitely add tweet site http t co sldaigtscy,  seanagnew sorry mean news source beer burger,isis opera isis fake terrorist group bunch pay spy idiot follow ajenews intelwire,  ugur tezcan ajenews intelwire delusional,photo personnel progress event give bad guy valuable intel ajenews seanagnew protip,  ajenew religion peace act peaceful,  ajenews sydney opera house evacuate siege continue local medium report hostage http t co qt njgrnq http t co ara ur eib,  somedaybitch pic know well honest sdb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break gunman sydneysiege say device city demand speak prime minister jfxm http t co wto rzowe,  jfxm break dialsquare hear pm demand min device claim report,  baldwheel bobillingworth break dialsquare jfxm actually say ab bbc,  bobillingworth break dialsquare jfxm thing need inaccurate sensationalist report heighten tension,  break dialsquare jfxm threat demand gunman accord local medium,  baldwheel break dialsquare jfxm exactly,  break jfxm set hq chocolate shop wait conclusive proof focus hostage,  break jfxm muslim terrorist strike sydneysiege,  bobillingworth break dialsquare australian radio tv report threat unconfirmed yeh report,  break aussie skinhead jfxm flag say inform mean islamic jihad act http t co fo gtnwl,  break break gunman sydneysiege say device city demand speak prime minister jfxm,  meliz bobillingworth break dialsquare jfxm yes head report know accurate,  break amarriieeee jfxm god,  break jfxm download hilarious free koran parody infidel age https t co hxbezhdguj,  break break gunman sydneysiege say device city demand speak prime minister fuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  hostage sydney caf confirm channeltennews gunman demand want isis flag deliver want speak prime minster,  cbsnlive aboudjaffar pour le br ler et d noncer le terrorisme pour parler des action mener contre l'islamophobie cc guidere,  jbatesri hi jack,  cbsnlive hostage sydney caf confirm channeltennews gunman demand want isis flag deliver want cathunwin,  cathunwin sorry,  jbatesri stop sec,  cbsnlive hostage sydney caf confirm gunman demand want isis flag deliver want speak prime minster,  cbsnlive cbsnew channeltennews know intention right,  jarekkuzniar zacz o si ka dy nawiedzony ekstremista b dzie pr bowa samodzielnie takich akcji w r nych zak tkach wiata sydneysiege,nowe cbsnlive hostage sydney caf confirm gunman demand want isis flag deliver want speak prime minster,  szatko jarekkuzniar cytuj c klasyka fear big business jak jest zarabia na straszeniu ludzi,  cathunwin ok well,  cbsnlive channeltennews cbsnew asshole bring isis flag f ck isis flag stupid muslim,lol szatko jarekkuzniar zacz o si ka dy nawiedzony ekstremista b dzie pr bowa samodzielnie takich akcji w r nych zak tkach wiata,  cbsnlive cbsnews channeltennew israeli commando squad happy deliver flag,  cbsnlive cbsnews channeltennew people release muslim try establish christian hostage,  tjm cbsnlive channeltennews cbsnew not ignorant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney opera house completely evacuate sydney airspace close siege,  sydney opera house completely evacuate wake martinplace siege sandra sully lindt,  sandra sully sydney opera house completely evacuate sydney airspace close siege guy terminator,  sandra sully sydney opera house completely evacuate sydney airspace close siege laurem,  sandra sully airspace close smh report fact know fact stop sensationalise,  sydney operahouse completely evacuate sydney airspace close siege sandra sully today sydney suffer like kabul,  sandra sully pm sydney airspace closed land albury time,rt sandra sully sydney opera house completely evacuate sydney airspace close siege,feel sick stay safe sydney sandra sully sydney opera house completely evacuate sydney airspace close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basically man hold ppl hostage caf sydney hostage hold islamic flag window,  soswwreport pray people,  soswwreport sosupdatesla oh pray,  soswwreport m cry bad ashtofletcher lucy swan,  soswwreport pray,  soswwreport holy shit scary,  sosupdatesla soswwreport happen guy,  soswwreport oh wow wow,  soswwreport sosupdatesla oo home live sydney know,  soswwreport people represent islam,  soswwreport wait people islamic extremist people hold flag,  soswwreport sosupdatesla pray people,  soswwreport oh good,  soswwreport oh,  soswwreport pradadehaan,  soswwreport omg hope people hurt,  georgiax soswwreport oh,  soswwreport omg s s happen,  soswwreport oh wow,  soswwreport sosupdatesla hell islamic flag religion fucking country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total number people leave cafe sydney late http t co nl bnlfida sydneysiege http t co tgzkyfnlr,  wsj little disconcerting medium crossfire bullet fly sydneysiege,  wsj wow,,  wsj pray hostage safe release terrorist win sydneystrong sydneyhostagecrisis lindtcafe australia,  wsj wake america al adnani tell muslims kill disbeliever civilian soldier sydneysiege,  wsj powerful picture,  wsj news drama series fun people,  wsj little disconcerting man decide run release woman amp child inside forcemajeure,people sydneysiege wsj,hope wake resolve peacefully bloodlessly mt wsj total people leave sydney cafe http t co tl pohuye,  wsj terrorism desperate help justify authoritarianism west isis understand democracy ally,  wsj know terrorism global thing,  wsj happen israel islamic terrorist dead shoot israeli police idf soldier,  wsj aussie grand master form substance analyst amp talker doer take extreme caution avoid take risk,  wsj secular people world terrorist terrorhasnoreligion sydneysiege,  wsj il terrorismo dei disperati contribuisce giustificare autoritarismi occidente isis non comprende che la democrazia sua alleata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break new hostage woman run safety sydney cafe australia television network report http t co apnkqmicsx,  sydney nbcnew great advice guy hire tweet nbc lack grammatical discipline,  nbcnew asians,  nbcnew robquig cashut interesting journalism ethic situation tweet report tweet report hostage escape,  nbcnew woman mean woman,  nbcnew gunman aware hostage escape tweet hostage danger,  nbcnew nbcbayarea fairness nbcnews nbcbayarea australian network tweet report situation,  methouoneo nbcnew thank sir active situation put hostage live jeopardy wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
officially uber price gouging au hostage crisis sad sorry clowns http t co otwtz e um,  mjberryman uber yeah see disgusting,  sethmnookin live near portland support city effort hold uber municipal law,  gtfo uber fair pt concern decent w stalk journalist lout happen,  sethmnookin lemmcace good decision,  sethmnookin tweet min one advise passenger free https t co fihmasxdi lt ayn rand alive run uber,  sethmnookin lemmcace city boston quit require internship nearly justifiable gd,  sethmnookin uber yep agree find hard believe sit computer think good idea know,yes yr ago quit follow dead lemmcace sethmnookin drive cab right like real cab license etc,  sethmnookin drive cab right like real cab license etc,  sethmnookin uber yea dumb probably automate system adjust rate base demand ai fail case,  lemmcace nick come visit boston,  sethmnookin uber s big deal not rule acquisition,  sethmnookin understand friend swear uber nyc expensive cab,  lemmcace dunno,  lemmcace will charge toll,  znmeb apparently b c take time read respond,  sethmnookin think losing battle uber behavior will change stop make number,  sethmnookin rape gee thank warning cc clarajeffery uber mashable,  gtfo tweet happen say get driver work automate sethmnookin uber,  sethmnookin lemmcace parent talk seth cdcwhistleblower reach go to write book,  sethmnookin heideggerfan uber uber shady af,  sethmnookin rarely ride taxis ride uber lyft limo yearly trimet pass portland,  sethmnookin nice million folk crap,  znmeb true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sydney cafe siege gunman dozen hostage inside cafe siege martin place sydney isis flag remain display,  y news beerzy situation awful bad irresponsible speculation isis flag,  simonpa request haha,  stretchlimzz e le malie,,  y news farmhousehome awful,  sandradanca poor people terrify mind pray,  matthewlumby channel pick poste restante gpo backpack,  stretchlimzz hey hey use fight word drop kick k,  andythatcher presumably cafe y news channel,  matthewlumby y news channel coward hope nsw fed police bring safe conclusion,  y news stretchlimzz isis flag man smhhh,  y news send prayer speechless,  y news channel bastard,  matthewlumby y news channel scary stuff,  farmhousehome die,  hiaundrea laker flag lol nah note,worrying business sydney possible isis siege y news amp channel live feed cut coverage https t co ndkzgpar,  y news hope hostage come safe,  sandradanca report,  y news confirm isis flag,  y news channel fear indoctrination msm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stretcher take sydney cafe police storm build fate hostage taker unknown nbcnew newssydney http t co n mmnilz z,  breakingnew dardar nbcnew newssydney hello hope people interested comment http t co fc lvzqhpd,  breakingnew stretcher take sydney cafe police storm build fate hostage taker unknown http t co inldmukata,  breakingnew nbcnew newssydney hopefully aussie round mm centermass twixt eye scumbag,  breakingnew breakingnewsuk hope gurney need innocent,stretcher take sydney cafe police storm fate hostage taker unknown breakingnew sydneysiege sydneyhostagecrisis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  consulate reportedly evacuate amid sydneysiege hostage situation http t co zlzkdjvsf martinplace http t co usvgxibdko,  rt com desireeaaron evacuating pig,  rt com m sure obama amp holder classify sydneysiege workplaceviolence amp islamicterrorism banislam impeachobama tcot,  rt com daughter amp grand kid central sydney hope fine,  rt com occupy syria army pretext isis,  rt com hand shoot terrorist,  rt com course obama run sydenysiege want interfere plan muslimbrotherhood obamasuck,  rt com naw bro isis want chocolate lmao,  jasperfirst rt com want leadership stand evil like islam amp serve people direct people obama not,  rt com us'll derrr,  rt com publicity,  rt com m glad stick help obama chickenshit come liberal courage look like run,  rt com want benghazi o want look like failure,  rt com soldier islam biker,  rt com mutahingunyi oleitumbi ukenyatta united states run away friend attack sidney hotel siege,  rt com look diversity progress action fuck multiculturalism waronwhite wr,  rt com shoot behead preference hold abomination flag,  seandivincenzo rt com want bush clone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
