source_tweet,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6,reply_7,reply_8,reply_9,reply_10,reply_11,reply_12,reply_13,reply_14,reply_15,reply_16,reply_17,reply_18,reply_19,reply_20,reply_21,reply_22,reply_23,reply_24,reply_25,reply_26,reply_27,reply_28,reply_29,reply_30,reply_31,reply_32,reply_33,reply_34,reply_35,reply_36,reply_37,reply_38,reply_39,reply_40,reply_41,reply_42,reply_43,reply_44,reply_45,reply_46,reply_47,reply_48,reply_49,reply_50,reply_51,reply_52,reply_53,reply_54,reply_55,reply_56,reply_57,reply_58,reply_59,reply_60,reply_61,reply_62,reply_63,reply_64,reply_65,reply_66,reply_67,reply_68,reply_69,reply_70,reply_71,reply_72,reply_73,reply_74,reply_75,reply_76,reply_77,reply_78,reply_79,reply_80,reply_81,reply_82,reply_83,reply_84,reply_85,reply_86,reply_87,reply_88,reply_89,reply_90,reply_91,reply_92,reply_93,reply_94,reply_95,reply_96,reply_97,reply_98,reply_99,reply_100,reply_101,reply_102,reply_103,reply_104,reply_105,reply_106,reply_107,reply_108,reply_109,reply_110,reply_111,reply_112,reply_113,reply_114,reply_115,reply_116,reply_117,reply_118,reply_119,reply_120,reply_121,reply_122,reply_123,reply_124,reply_125,reply_126,reply_127,reply_128,reply_129,reply_130,reply_131,reply_132,reply_133,reply_134,reply_135,reply_136,reply_137,reply_138,reply_139,reply_140,reply_141,reply_142,reply_143,reply_144,reply_145,reply_146,reply_147,reply_148,reply_149,reply_150,reply_151,reply_152,reply_153,reply_154,reply_155,reply_156,reply_157,reply_158,reply_159,reply_160,reply_161,reply_162
say gunman reportedly know police medium,come craze nut jesus total different response r nut,hostage taker clearky plan location maxiumum effect medium coverage hope safe release,course cia false flag,shahada flag ' god allah muhammad messenger allah ' peaceful tolerant freak,mean catholic authoritative position,despite demand isis flag cafe guy gunman amp terrorist oh muslim,oh peter hore,know speculation fact,think people cafe,blame saudia cair m brotherhood want lull tolerate islam amp stop terrorist,stop report lunatic muslim complete news blackout act commit,hostage taker know medium police allow terroise public,brit pathetic far la la land r u go travel deny terrorism muslim,false flag divert frm d bad budget n cause racial division,say gunman reportedly know police medium,likely occur street channel studio,say gunman reportedly know police medium rolf harris,attention seeker minute shit brick,nut case religion matter practice black magic n stuff like,pray poor hostage hope gun man get bullet head,dude type terrorist forget flag right,mention involve murder sexual predator disguise spiritual,mean public figure,obviously know news hour,flag involve class terrorism probably news,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video footage show police storm sydney cafe,want live land free home brave europe,  video footage show police storm sydney cafe,video de la polic ingresando al cafe video footage show police storm sydney cafe,crazy thing see omg thankfully,video footage show police storm sydney cafe,pol cia invade caf na austr lia onde terrorrista mant m v rio ref n,people feel discussion amp communication solve problem anymore,video footage show police storm sydney cafe,,video footage show police storm sydney cafe,,video footage show police storm sydney cafe,video footage show police storm sydney cafe,,negotiation unreasonable people damage way,video footage show police storm sydney cafe,thank obama plan import thousand syrian usa transformation demographic great,video footage show police storm sydney cafe,  good police careful,rt video footage show police storm sydney cafe,new law pass kenya illegal medium house footage jail share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky news reporter scene live sky news,stop show police positioning,mt scene live sky news,break news muslim leader condemn oh yeah happen,,,,original content feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
let mind associate kkk christianity,humble willfully ignorant goodness deny existence ss rs admit,let mind associate islam publicly hang behead gay,honey spread lie know answer,  lt hatred mlk get block,,block troll new tactic claiming kkk totally brain child liberal,wonder discuss hostage hastag,know talk southern strategy liberal hogwash feel well,,inability reason get call idiot,attorney general bug harass mlk bobby kennedy,deny false equivalency southern democrats diff current,blog self publish format well,  hero know history discuss pick rep john lewis sanders noam chomsky,reagan atwater liberal hogwash agree,racist cry racist,  good glad recognize ridiculous pundit side agree w wrong,,yeah true google southern strategy,,mentally retarded gt gt gt gt gt gt false claim suppose personal hand puppet,claim christian athiest actually,  sry butt revisionist fdrepublican tripe want knock humility sight,  sure establish yes correct abt fact,mlk opinion gt,complete lack education revolt,mlk refer way,kkk associate kkk christianity,mona charen lolol,  folk ' bubba ' go home democratic party vote bill clinton,,yes president goldwater attorney general bug harass mlk,mlk talk prople,look like find moron,rwnj deny southern strategy happen,bigotry paint south ' racist ' ashamed,kkk come democrat party google,good night divide destroy nation worth talk,completely ignorant american political history,,tell accept fact rwnj source like fox block,isn t true,look southern strategy,,problem relive past play game night thank,j e hoover belong political party hooverism,  minority voter focus white male vote south guess happen,,kkk come democrat party kkk terrorize black republicans,,frankly human refer way ppl w d down brain damage choice ppl insult hv choice,kkk come democrat party able read correct,  think right lie bit analgesic bruise conscience,victim democrat spin sad,kkk terrorist wing democratic party,shit cite fact give opinion claim wapo fact,book end clinton administration,,confuse fact opinion expect left opinion trump,basically say mlk retard,,absurd kkk associate christian identity,,,,,,agree buh bye,point basic logical fallacy false equivalency document racial prob south,google southern strategy provide source lbj quote kessler,google southern strategy,,neurology bad political idea moral choice iow leave disabled people,mona charen opinion writer,yike argue yr old,bab ' use ' retarded ' grow use insult go way party line,know fight black man woman anymore ridiculous,  educate political history u s head rnc,kkk refer conservative christian formula like,funny thing change tell racist party dem gop bad,,,  oh alright disagree guilty party real healing need honest witness past,bigotry democrats see subtly subtly label southerner ' racist ',  abt michael steele plus year ' southern strategy ' alienate,read read wapo opinion blog opinion,derp strong guess hard search congressional record,think go come aid,deny democrat party form kkk,,believe kkk consider white supremacist christian supremacist,,,glad refer southern strategy regan launch candidaacy speech philadelphia miss,,myth discuss people fight life imbecile,attribute insult mlk vile,lol idiot try equate islam chricon kkk,bigotry repulsive sicken,yes new select fact cherrypick history instead see reality,bot ass suspend yep tick libs reality,uh know bigot,sigh respectfully disagree fuck stupid,say bot suspend time,google sort crap fact fact wash ur crap gt,respectfully disagree fuck stupid,,,link civil right history gop,basic republican party,wtf wrong w ppl,,fail cry democrat spin lol,think know actual history twisting stuff try upset,  civil right history gop end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thousand word picture police absolutely amazing today,  word picture police absolutely amazing today,sorry ask happen sydney,' ' gunman enter cafe take customer hostage lot know,,,,count word picture beer burger,world actually fuck prayer hostage family,hash tag highlight good humanity x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
late armed police storm cafe multiple hostage free paramedic enter scene,,vip paedophile network ' shut police investigation get close ' retire officer claim,aaron iranian monie kidnap hostage sydney,kill far hope,wow news late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prouder love country,sweet post lift heavy particularly night profession riddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hell wrong people take selfie m lindt cafe,,,read interesting perspective ' terror ' fight terror act show affraid,p s say agree interesting perspective,,hell wrong people take selfie m lindt cafe ugh,reflection moral impropriety decline,,isis rapisce e terrorizza un bar sudney e passanti fanno senfie che cazzo gli prende alla gente,,probably follow tony order yobbo,tragic narcissism interested social medium profile crisis underway,priority siege life balance captive say lot,hope future facelift go bad viral,,shameful civilised pple blame uncivilized,hell wrong people take selfie m lindt cafe,  fucken moron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not sleep know minute away innocent people hostage hour pray hostage sydney,distance joke terrify,stay safe alright xx,,stay safe xx ily,,sleep scared guy sydney stay safe,know u feel,look away tv horrible,mate m legit minute wtf stay safe xxxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australia reaction magnificent,,need advert happy slow ' user expernce ',like try scroll downward treacle give article recently afraid,ok read article ctrl u code prune relevant bit save htm open,,make effort read article get benefit site lt sec,amazing australia reaction magnificent,hi want read story website unusable w ad appear text amp follow,make proud human great ppl cultue share human value,,read text ctrl u firefox bring code article start line,,proud rt australia reaction magnificent,muslim aussie brother sister australia love aussie mate,,expect great country,australia reaction magnificent win,muslims australia love loudly thank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pray crazy idea islam hubris act despicable,actually open interpretation think interpretation right,message banner say god allah muhammad prophet yes pretty sure islam idiot,islam muslim country breivik,' co opt ' muslim fuck anti white prick,attack white country believe islam rule world,islam reason take people hostage threaten white australian idiot,  create islamic enemy,act inside religion koran contain incitation violence,,important consider stop make excuse radical islam dickhead,cause year ago see muslim hurt news angry amp easily fall thing,pray disbeliever take hostage muslim allah hate disbeliever want burn skin,say muslims rule non muslims stop make excuse holy war,people die today fact defend islam make sick,hey jolly practice run feel yeah people moslem community sad zio,oh right entirely accident plane fly twin tower entirely accident muslim,muslim agree slogan flag think islam,y need proper muslim teach proper jihad uneducated youth act anger amp wrong,feel fold situation negative feeling moslem practice run cop think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
late update situation martin place,late update situation martin place scary,late update situation martin place,,late update situation martin place,,scary stuff live tv late update situation martin place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppl tap dance likely happen sydney worried offend terrorist prayer,black flag window clue hint jolly roger,think pork sandwich rule,hostage fact jihadist flag fact terror fact leaping judgement fact,australia long black monday,journos maybe australia,flag belong extremist group jabhat al nusra speculate right,fear go end,backpack withstand acid,obesity chocolate cause right,adopt ' extremist ' view try rob mcdonald stick,report flag help authority,hope sas fill terroist lead,need umpa loompa swat team small causality way,jihad cherry pick naughty naughty way mo,,reliance traveller jihad mean war agnst non muslims,explain jihad thing murder,clear go thank concern,yes comment direct sensible reporting,funny miss news right winger take caf hostage hm,people flag belong extremist group jabhat al nusra probably typical psycho,funny dumb historically accurate funny,  lt stand,yell allahu akbar mentally ill politic think know situation,empathy hope virgin look like napoleon dynamite virgin virgin,say likely foolish report fact confirm aussie medium good job,know motive assume thing mentally ill people world,listen pick color deed,likely raid morning thing early need fact,right amp lot follow,certainly hope terrorist hold ppl hostage empathetic bleed heart,course inkling tea partier news fact,think dirt chocolate shop sugar deprivation,look like pig smell like pig sound like pig definitely giraffe,wow board maybe steer build sign sure like,cromnibus bill read,,black flag say alah god,trust muslim tell late not arab,like worldview shit usually think,bingo world pc good end,think hostage feel terror right make terrorist organization,m hostage sa,sound like pc bs keep rational people talk reality go,look way point expert,,bunny maybe poor derange jihadist feel bit misunderstood,anti water board freak pull terrorist,judge wave jihadi flag hold people gunpoint terrorist,live feed find,  say guy machine gun backpack hold hostage jihadi flag terrorist,,,watch go find troll hostage taker oh noe,share fear angry time,terrorism bill cosby unquestionably rape woman mike brown arm,,hostage act terrorist act islamic home grow crime,  gr mbthp,stop throw world terrorist freely,  nut yeah death cult like islam tendency attract ya know,propose right definition,bad coffee joke,  anxious meet virgin,,think group iza bunza nutzbagh,pretend journalist human nature judgement base experience,terrorist terrorist doubt feeling catch,train disciplined psycho amp jihadist kill muslim empathy ass,want sniper bullet fly true,,come city recently shoot mentally ill person label ' terrorist ',problem world today solve sniper rifle,,misunderstood person happen want chop head,cvmon bunny stop stereotype terrorist derranged sociopath,cuz need understand empathize terrorist duh ask hilary,yes ft hood call ' workplace violence ',,lol know racist terrorist life matter lol,easy way pronounce stick finger throat,think hostage situation require knowledge fact,  sigh point careful journalism practise absolutely know,possible need sharp point head understand,motive unconfirmed fact,likely yes fact complex,,bad joke kill,know word hold weight amp poor way use day,know motivation pm abbott say presser insta expert twitter,murderer use religion excuse murder,wait decide kill gotcha,jihad religious duty resistance struggle kill,backpack large hostage,hold tea party flag journo scream roof top,,believe islamic event convince real target usually exit plan,right wing paramilitary group,flag jihadist group know jihadist,maybe customer order large coffee amp offend,terrible thing cause terror terrorist,oh probably gideon bible march dime info maybe baby chipmunk,broad take know lone nut organise terrorism,chocolate shop make bad,right think happen armed robbery smh,jab hat funny,individual declaration motivation rely fact speculation,sure pronounce right,include word jihad murder video post coincidence,jihad jihad jihad purpose jihad,right sit worried r go to crucify puhleeze,,lock jewish school consulate evacuate americans tell high alert,  crack yeah great timing,face palm fact,maybe probably boattail round,probably abundance caution feel like go,bada bing mama mia lol,shoot nsw tactical response unit great bunch guy ability amp tool,jihadist flag try protect,clearly dark chocolate,,maybe u shld research david axlerod amp bill ayer obama pal guilty terrorist act,bias want believe happen mean actually happen,terrorist question wave flag represent jihadist group,,semantic allah devotee bloodthirsty god solid,send hillary right sydney sympathize hostage taker,interesting unfold aussie play,,,purpose eliminate fucking jihad,call terrorist consider torture time bunny terrorist feeling,,think workplace violence lol,leftist ausie concerned come abbott mouth care trap,,black flag arabic writing pretty good indication be sell cookie islam,sniper well wait frontal shot contain obamacare bill,college book hand oh wait wrong story,know religion time hint buddhist,think backpack sparky,secondary event ensure good coverage fit right,jihad coffee shop jihad damn decaf,yeah probably child bride stuff,lol mean sure,yea tea party real terrorist oh emm gee,let shoot find,,u get wrong end stick ' professional news reporting leap judgement,lol awesome intel analyst,yes merge isis,pay big buck lol hope wrong hope toy gun guy mentally ill,,flag belong extremist group jabhat al nusra thank,,hillary tell sympathize geez,research sweetie gt gt gt sarcasm,generic black shahada flag terrorist cud favor jihadi group point,offer pumpkin spice latte,recall t partier behead bombing innocent like obama pal,
hour night fall sydney hostage remain inside cafe,hour night fall sydney hostage remain inside cafe,,yup non muslim thread person religion,hour hostage remain inside cafe,,heart go friend sydney go,let hope end soon casualty,  know offender amp islamic flag window hour unconfirmed hostage remain cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
number hostage take amish today zero lt religion peace look like,point think mom basement,mean sydney siege promote amish religion peaceful nation normal,point exactly religion peace talk behead ppl day,happy religion honorable war like jews lutherans,talk amish think hard know hint involve behead,prayer flag directly link isis isil stop stoke hype train bellend,isis represent islam host islamic scholar condemn act amp,yes point know religious group quit hate speech,happen will assumption christian evil act single misguided,dispute peaceful nation change muslim population grow see precursor,care talk amish,islam not people hostage fanatic call muslim judge entire religion,scumbag demand isis flag islam lol,christian commit act violence muslim wanna hear fucking peep,,um promote amish note actual religion peace,think dog act peddle kind time save later mate,' muhammad ' flag religion get,behead hundred thousand group believe,problem ambush refuse fight country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people take selfie return home look selfie amp unconscious blither idiot look like,geez hear imagine selfie taker hiroshima auschwitz laugh go hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
